species	class	subclass	0percent	1percent	2percent	3percent	4percent	5percent	6percent
phydis	LINE	Dong-R4	0	0	0	0	0	0	2.19590153119259e-06
phydis	LINE	R2	1.33663571463897e-06	3.96217015410837e-06	0	5.77617576683268e-06	6.82638954262044e-06	7.92434030821674e-06	1.75194752597322e-05
phydis	LINE	Penelope	7.35149643051432e-06	0	1.83787410762858e-05	2.77829280685671e-05	1.91425329132224e-05	5.06966831766637e-05	8.42557870120635e-05
phydis	LINE	CRE	0	0	0	3.05516734774621e-06	0	5.2510688789388e-06	6.68317857319484e-06
phydis	Retroposon	SVA	0	0	0	0	0	0	0
phydis	SINE	SINE	1.52758367387311e-06	0	0	1.47984668406457e-06	0	0	1.67079464329871e-06
phydis	SINE	5S	6.87412653242898e-06	1.55622586775823e-05	2.24363852100112e-05	4.29632908276811e-05	2.31524400571393e-05	6.43494622619046e-05	7.80022413471455e-05
phydis	SINE	7SL	0	0	0	3.38932627640595e-06	2.14816454138406e-06	2.67327142927794e-06	4.86917296047053e-06
phydis	SINE	Alu	0	2.86421938851207e-05	2.07655905667125e-05	5.05534722072381e-05	3.16018872532499e-05	5.00283653193442e-05	9.06525436464071e-05
phydis	SINE	tRNA	4.32497127665323e-05	0.000100152204618306	0.000230044553887328	0.000409726583526652	0.000986532631383175	0.00129505679651573	0.00221189342277845
phydis	SINE	tRNA-Alu	0	0	1.86174260253285e-06	7.82886632859967e-06	1.57532066368164e-05	1.50848887794969e-05	6.29173525676486e-05
phydis	SINE	tRNA-RTE	0	0	0	3.05516734774621e-06	0	1.95721658214992e-06	1.71853163310724e-06
phydis	SINE	RTE	0	0	0	0	0	0	1.71853163310724e-06
phydis	SINE	Deu	0	0	0	0	0	0	0
phydis	SINE	tRNA-V	0	0	0	0	0	0	0
phydis	SINE	MIR	8.59265816553622e-06	3.34158928659742e-06	1.13136665846227e-05	2.65895033233538e-05	1.43210969425604e-05	5.37518505244099e-05	0.000101250155383902
phydis	SINE	U	0	0	0	2.91195637832061e-06	5.48975382798148e-06	7.54244438974846e-06	1.40346750037092e-05
phydis	SINE	tRNA-7SL	0	0	0	0	0	0	0
phydis	SINE	tRNA-CR1	0	0	0	0	0	0	1.52758367387311e-06
mymy	Unknown	Unknown	2.29628226619654e-06	0	4.4428069932933e-06	6.04022074369089e-06	1.35780168783795e-05	2.48597514905625e-05	2.64571652409601e-05
mymy	Other	Other	0	0	0	0	1.29789867219804e-06	0	7.18836187678916e-06
mymy	DNA	CMC	0.000118408294248221	6.67918624384992e-05	0.000120704576514418	0.000124748030070112	0.000137127986635693	0.000183702581295723	0.000274355811630786
mymy	DNA	Crypton	0	0	0	1.64733293009751e-06	0	1.84700964889721e-06	1.74717128949736e-06
